id,nome,pais_original,pais_corrigido,nearest_cc,nearest_city,latitude,longitude,dist_km,hotel_count,status,nota
12323,Mount Etna,IT,US,US,Huntington,40.742546,-85.56192,16.5,15,Revisar (distância alta),
12342,Mountmellick,IE,DE,DE,Tönning,54.33045,8.7737,10.9,3,OK,
12612,Nanton,CA,FR,FR,Tournus,46.61981,4.815444,9.0,28,OK,
12647,Narva,DK,FI,FI,Lempäälä,61.295197,23.502483,13.4,26,OK,
12673,Natuna Islands,CN,ID,ID,Ranai Kota,3.930516,108.19015,20.8,40,Revisar (distância alta),
12941,Niue,NZ,NU,NU,Alofi,-19.053642,-169.86134,6.1,34,OK,
12985,Norfolk Island,AU,NF,NF,Kingston,-29.032804,167.94832,3.0,41,OK,
12999,North America,GB,CA,CA,Swift Current,51.0,-109.0,116.2,8,Revisar (distância alta),Canadá
13018,North Cascades,CA,US,US,Pflugerville,30.461832,-97.61802,2.5,14,OK,
13044,Northern Cape,DE,ZA,ZA,Kakamas,-29.573402,21.205135,105.8,1,Corrigido,
13054,Northern Laos,TH,LA,LA,Luang Prabang,19.986212,102.24413,14.1,6,OK,
13057,Northern Myanmar,CN,MM,MM,Tangyan,22.62344,98.83084,47.2,2,Revisar (distância alta),
13081,North Korea,KR,GR,GR,Rethymno,35.36973,24.54263,5.5,3,OK,
13109,Northumberland Shore,CA,GB,GB,Blackpool,53.836956,-3.052627,2.3,11,OK,
13129,Norway (Maine),NO,US,US,Paris,44.213623,-70.542336,6.1,14,OK,
13148,Novalja,FR,HR,HR,Mali Lošinj,44.556118,14.884472,33.1,2,Revisar (distância alta),
13287,Ohakune,AU,NZ,NZ,Whanganui,-39.416946,175.39961,64.7,15,Revisar (distância alta),
13379,Onslow,AU,CA,CA,Truro,45.391884,-63.30065,3.9,5,OK,
13417,Orcas Island,ES,US,US,Anacortes,48.651558,-122.81793,21.6,7,Revisar (distância alta),
13419,Orchid Island,PH,TW,TW,Hengchun,22.051199,121.54695,82.9,19,Revisar (distância alta),
13551,Oze National Park,JP,US,US,Shady Hollow,30.154978,-97.789696,7.1,12,OK,
13552,Ozona,TR,ES,ES,Ciutadella,39.92609,3.83064,8.4,8,OK,
13569,Padang Besar (Malaysia),TH,MY,MY,Kampung Titi Tinggi,6.659877,100.31645,6.4,3,OK,
13570,Padang Besar (Thailand),TH,MY,MY,Kampung Titi Tinggi,6.666866,100.31942,7.1,1,OK,
13591,Pai,TH,ID,ID,Bima,-8.441723,119.00121,30.3,40,Revisar (distância alta),
13596,Painted Monasteries,RO,US,US,Bennington,43.03432,-73.30232,19.4,2,Revisar (distância alta),
13600,Pajala,SE,FI,FI,Kittilä,67.20904,23.364729,82.6,5,Revisar (distância alta),
13607,Pakse,JP,CM,CM,Poli,8.69625,12.90522,44.3,34,Revisar (distância alta),
13619,Palau,PH,IT,IT,La Maddalena,41.176216,9.377231,5.0,2,OK,
13658,Palos Verdes,PT,MX,MX,Guasave,25.37955,-108.45858,21.0,23,Revisar (distância alta),
13675,Panama City Beach,ES,CH,CH,Pregassona,46.031765,9.123382,11.6,41,OK,
13698,Panmunjeom,KR,KP,KP,Kaesŏng,37.955868,126.67701,10.9,13,OK,
13701,Pantanal,BR,MX,MX,Xalisco,21.4281,-104.86065,4.5,4,OK,
13775,Pharping,IN,NP,NP,Ki̇̄rtipur,27.611635,85.26701,7.5,7,OK,
13829,Paynesville (Victoria),CA,CC,CC,West Island,-12.89708,95.62626,153.7,8,Corrigido,
13870,Pelister National Park,GR,MK,MK,Bitola,40.96385,21.23829,11.2,29,OK,
13877,Pembina,US,CA,CA,Winkler,48.75308,-97.55328,55.4,1,Revisar (distância alta),
13882,Penang,SG,MY,MY,Ayer Itam,5.406501,100.255905,2.5,10,OK,
13886,Pender Island,CA,US,US,Merrill,45.65297,-90.53012,84.4,21,Revisar (distância alta),
13891,Pengerang,SG,MY,MY,Felda Gugusan Adela,1.394423,104.21549,10.3,26,OK,
13892,Penghu,CN,TW,TW,Magong,23.569695,119.56645,2.1,7,OK,
13900,Penns Grove,IT,US,US,Carneys Point,39.729557,-75.46797,2.0,7,OK,
13912,Peora,IN,US,US,Clarksburg,39.421474,-80.34481,15.7,1,Revisar (distância alta),
13948,Peru (Maine),PE,US,US,Paris,44.526524,-70.463875,29.8,6,Revisar (distância alta),
13960,Petawawa,DE,BG,BG,Pomorie,42.56351,27.604511,2.1,18,OK,
14022,Khao Phra Thaeo Non-Hunting Area,TH,IT,IT,Solaro,44.83141,9.41722,20.0,12,Revisar (distância alta),
14031,Pichilemu,CL,IT,IT,Rimini,44.055504,12.592457,2.2,19,OK,
14034,Pico,PT,IT,IT,Pontecorvo,41.450935,13.559382,8.9,14,OK,
14125,Plain of Jars,CN,LA,LA,Muang Phônsavan,19.425125,103.15932,4.3,2,OK,
14133,Plaquemines Parish,MX,US,US,Belle Chasse,29.429115,-89.51235,66.2,5,Revisar (distância alta),
14165,Ploče,HR,ES,ES,Calp,38.6783,0.08935,5.4,4,OK,
14207,Poland (Ohio),PL,US,US,Struthers,41.024227,-80.61479,3.2,13,OK,
14233,Ponta d'Ouro,ZA,ES,ES,Port de Pollença,39.87362,3.06484,4.0,14,OK,
