id,nome,pais_code,hotelCount
20643,"Zruč nad Sázavou",CZ,20
21814,"Astrid Lindgren tourism",SE,20
7897,"Giant Mountains National Park",PL,20
21661,"Raetihi",NZ,20
14122,"Placentia (Newfoundland)",CA,19
11818,"Meriden (Connecticut)",MX,19
26305,"Nastola",FI,19
14120,"Placencia",US,19
26951,"Marttila",FI,19
21392,"Road 63 (Norway)",NO,19
12874,"New Ulm (Minnesota)",US,19
13793,"Passu",CN,19
19797,"Yeonpyeong Island",KR,19
16981,"Tachileik",TH,19
12977,"Nordkapp",NO,19
11324,"Makarska",HR,19
21496,"World War I",FR,19
24961,"Sauvo",FI,18
9606,"Kampinos National Park",PL,18
25179,"Buddhist Circuit",IN,18
26457,"Pudasjärvi",FI,18
13960,"Petawawa",DE,18
23065,"Wooden tserkvas of the Carpathian region",PL,18
26052,"Kaskinen",FI,18
16975,"Taberg",SE,18
6577,"Delta Works",NL,18
6971,"Eastport (Newfoundland)",CA,18
22192,"Cycling in the Achterhoek",NL,18
21557,"War of 1812",US,17
26565,"Tohmajärvi",FI,17
26206,"Viking (Alberta)",NO,17
18720,"Winkler",RU,17
18300,"Waitomo",NZ,17
25205,"Jomon Prehistoric Sites in Northern Japan",JP,17
15891,"Selkirk (Manitoba)",CA,17
16919,"Sydfynske Øhav",DK,17
22744,"Kebnekaise",SE,17
23730,"Utö (Finland)",SE,17
6700,"Disabled travel in South Africa",ZA,17
27160,"Bullfighting",PT,17
18308,"Wakefield (New Zealand)",NZ,17
7416,"Ferghana",CN,17
24364,"Japanese colonial empire",JP,17
24589,"Nobel tourism",NO,17
14458,"Princeton (British Columbia)",CA,16
4254,"Bernal",MX,16
14012,"Phimai",TH,16
25483,"Japanese gardens",JP,16
27489,"Bréhat",FR,16
20279,"Kalajoki",SE,16
21805,"Acadia",FR,16
13853,"Pedasi",PA,16
27232,"Aš",CZ,16
8239,"Grodno",PL,16
5504,"Central Ukraine",UA,16
16651,"Stewart",CA,16
24884,"Gelephu",SG,16
16880,"Sussex (New Brunswick)",CA,16
7203,"Ephesus",GB,16
24528,"Orivesi",FI,16
22797,"Pottenstein",DE,16
11537,"Mariánské Lázně",CZ,15
14164,"Plitvice Lakes National Park",HR,15
6742,"Doi Inthanon National Park",TH,15
9630,"Kanha National Park",IN,15
15285,"St. Lawrence",CA,15
6391,"Dabu",CN,15
18678,"Williamstown (New Jersey)",IE,15
17436,"Tivat",ME,15
25094,"Ritsem",SE,15
23417,"Geraldton (Ontario)",CA,15
24776,"Parkano",NO,15
18165,"Vilcabamba",PE,15
18372,"Warroad",BR,15
11219,"Macau/Coloane",PT,15
17952,"Vadstena and Ödeshög",SE,15
21357,"Romney Marsh",FR,15
22143,"Mongol Empire",KR,15
12313,"Mount Aspiring National Park",NZ,15
19290,"Nackawic",CA,15
27682,"Amatlán de Cañas",MX,15
26188,"Saint-Amable",CA,15
15216,"Sackets Harbor",CA,15
7282,"European route E39",NO,14
23641,"Chess",IN,14
15345,"Salento",CO,14
14132,"Plant City",IE,14
15953,"Seychelles",SC,14
17511,"Tongariro National Park",NZ,14
20433,"Riksgränsen",NO,14
25994,"Pertunmaa",FI,14
13139,"Notodden",NO,14
15145,"Royal Natal National Park",ZA,14
25157,"Protected areas of the Nullarbor",AU,14
23858,"Waterford (Ontario)",CA,14
26224,"Myrskylä",SE,14
23993,"Stokmarknes",NO,14
24948,"Kuhmoinen",FI,14
16658,"St George (Queensland)",AU,14
24264,"Utrechtse Heuvelrug",DE,14
16976,"Table Mountain National Park",ZA,14
24860,"Carman (Manitoba)",CA,14
22240,"Lüdinghausen",NL,14
6568,"Delphi",GR,14
4080,"Beaver Creek",CA,14
18775,"Wonsan",JP,13
11956,"Milford Sound",NZ,13
3475,"Ascension",PT,13
24335,"Bus travel in the Philippines",PH,13
10192,"Ko Sichang",TH,13
17706,"Tsitsikamma National Park",ZA,13
22921,"Novo Selo",GR,13
21096,"Iron Gates Natural Park",RO,13
21720,"Signs",ES,13
26840,"Pomarkku",FI,13
18380,"Wartrail and New England",ZA,13
21318,"Boac",PH,13
18273,"Wadden Sea National Park",DE,13
20547,"Minca",CO,13
17573,"Tory Island",IE,13
23037,"Australian Convict Sites",AU,13
24492,"New Administrative Capital (Egypt)",EG,13
27343,"Las Leñas",AR,13
7122,"El Malpais National Monument",MX,13
15912,"Senmonorom",VN,13
16693,"Stołowe Mountains National Park",ZA,13
14095,"Pisac",PE,13
21235,"Hell-Ville",TH,13
23216,"Longlac",CA,13
24449,"Glückstadt",DK,13
25985,"Sprengisandur",IS,13
24853,"Souris (Manitoba)",CA,13
22601,"Lord of the Rings tourism",NZ,12
20603,"Lemmenjoki National Park",NO,12
24774,"Hämeenkyrö",FI,12
13551,"Oze National Park",JP,12
28441,"Diwali",GB,12
19363,"Waihi Beach",NZ,12
27371,"Tamsahelte",MA,12
20241,"Bayham (Ontario)",CA,12
13002,"North Coast-Nechako",CA,12
24224,"Bothnian Sea National Park",FI,12
14532,"Puerto Varas",DE,12
24960,"Somero",FI,12
23265,"Jementah",MY,12
19806,"Gasan",PH,12
22941,"Occitanie",ES,12
24938,"National Route 83",AU,12
9054,"Ilgaz National Park",TR,12
21761,"Sacheon",KR,12
7064,"Elba",IT,12
20366,"Innisfail (Queensland)",AU,12
14258,"Poring Hot Spring",MY,12
20290,"Biesbosch National Park",NL,12
26724,"Micronations",AU,12
12147,"Monte Albán",MX,12
25486,"Cape Byron State Conservation Area",TR,12
20396,"Clinton (Ontario)",CA,12
4400,"Birgunj",IN,12
16328,"Sodwana Bay",ZA,12
21597,"Indigenous cultures of South America",PT,11
14314,"Port Klang",ID,11
3279,"Angola (Indiana)",US,11
27298,"Concepción de Ataco",MX,11
20220,"Lordsburg",MX,11
3291,"Anlong Veng",TH,11
21297,"Knokke-Heist",NL,11
25356,"Budderoo National Park",AU,11
5603,"Charleville",AU,11
11293,"Magnolia (Arkansas)",US,11
26124,"Glass House Mountains",AU,11
16506,"Southwest Washington",CA,11
26518,"Tambrauw Regency",ID,11
21828,"Central Bohemian Uplands",CZ,11
16180,"Silverton (Colorado)",US,11
18297,"Wairarapa",NZ,11
26701,"Paanajärvi National Park",FI,11
7128,"Elmira (Ontario)",DE,11
25950,"Karijini National Park",AU,11
9977,"King's Highway",FI,11
26567,"Oribi Gorge Nature Reserve",ZA,11
20925,"Saint-Claude",FR,11
23084,"Hajdú-Bihar County",HU,11
27628,"Tonatico",MX,11
9016,"Ibarra",CO,11
26528,"Toivakka",FI,11
24182,"Hanna (Alberta)",CA,11
27204,"Maxcanú",MX,11
26839,"Cuetzalan",MX,11
26619,"Utajärvi",FI,11
4129,"Beirut/Verdun",LB,11
26681,"St. Christoph",AT,11
9980,"Kingaroy",AU,10
3744,"Baiona",ES,10
22954,"Cambron-Casteau",BE,10
26911,"Inland Central Ostrobothnia",FI,10
7531,"Forestville",CA,10
22523,"Christmas and New Year travel",ES,10
26574,"Oripää",FI,10
18614,"Whangaroa",NZ,10
4543,"Bol",HR,10
11229,"Machadodorp",ZA,10
21488,"Vacation camp",FR,10
13298,"Ojców National Park",PL,10
4253,"Bermuda",IE,10
24626,"Mismaloya",MX,10
12913,"Nikel",NO,10
21523,"Tenhippalam",BR,10
5325,"Carnarvon",AU,10
17849,"Uliastai",RU,10
25858,"Bonham (Texas)",US,10
22725,"Great Otway National Park",AU,10
17757,"Tunku Abdul Rahman National Park",MY,10
24923,"Hill stations in Pakistan",IN,10
24299,"Sakura",NL,10
16529,"Spencer (West Virginia)",US,10
6346,"Culebra",PR,10
13364,"Omarama",NZ,10
19658,"Hveragerði",IS,10
13661,"Pamirs",CN,10
27443,"Bieszczady National Park",PL,10
8548,"Hasle",DK,10
22989,"Swiss National Park",IT,10
9353,"Jökulsárlón",IS,10
13155,"Nové Město pod Smrkem",PL,10
21725,"Berrima",AU,10
2482,"Londres/Camden",US,10
16440,"Southern Tasmania",AU,10
21979,"Wheaton (Illinois)",BR,10
25153,"Philosophy tourism",CH,10
21036,"Nera Gorge-Beușnița National Park",RO,10
258,"Bermudas",GB,9
20257,"Cimaja",ID,9
24659,"Whataroa",NZ,9
28115,"Botnialeden",SE,9
23931,"Horse racing",AU,9
18027,"Vanderkloof",ZA,9
26184,"Nightcap National Park",AU,9
6179,"Jim Corbett National Park",IN,9
26704,"Kärsämäki",FI,9
11295,"Magnolia (Texas)",US,9
25150,"Braveheart tourism",IE,9
21747,"20th-century South Africa",ZA,9
15743,"São Filipe",CV,9
19395,"Spiritwood",CA,9
23938,"Tamu",TH,9
26871,"Haapavesi",FI,9
23087,"Le Locle",CH,9
26219,"Vuolijoki",FI,9
13606,"Paksan",VN,9
24773,"Juupajoki",FI,9
27939,"Gränsleden",NO,9
26572,"Mkuze Game Reserve",ZA,9
18252,"Voyageurs National Park",CA,9
27308,"Border Ranges National Park",AU,9
17993,"Valles Calchaquíes",AR,9
22318,"Banten (town)",ID,9
14633,"Quechua phrasebook",AR,9
21163,"Indus Valley Civilisation",IN,9
3841,"Bandel",PT,9
19438,"Rathlin Island",IE,9
17430,"Tissamaharama",LK,9
19499,"Lauca National Park",CL,9
5422,"Catoosa",MX,9
14826,"Red Rock (Ontario)",CA,9
25832,"Weslaco (Texas)",MX,9
22385,"Kornati National Park",HR,9
22501,"Irvinestown",IE,9
23856,"Fortune",PT,9
22137,"Holašovice",CZ,9
27971,"Cimarron",MX,9
22198,"T. Narsipur",IN,9
17534,"Torbay",NZ,9
18352,"Ward",NZ,9
16119,"Siargao",PH,9
11558,"Marion Bay",AU,9
18583,"West Rand",ZA,9
26845,"Tablas",PH,8
10281,"Kūaotunu",NZ,8
23595,"Červená Lhota",CZ,8
15179,"Rust",AT,8
27961,"Ihuatzio",MX,8
175,"Áustria",AT,8
1616,"Salzburgo",DE,8
5623,"Charm",MX,8
28369,"Lake Waikaremoana Great Walk",NZ,8
20513,"La Grange (Texas)",CZ,8
8270,"Guam",US,8
2598,"Canton",US,8
22630,"Addington Highlands",CA,8
23291,"Korean cuisine",CN,8
2105,"Vila Nova de Gaia",PT,8
9181,"ISimangaliso Wetland Park",ZA,8
9334,"Japan's Top 3",JP,8
911,"Katmandu",PT,8
12550,"Nahanni National Park Reserve",CA,8
15881,"Sekupang",SG,8
611,"Escandinávia",NO,8
26712,"Etruscans",IT,8
2653,"Birmingham",US,8
7148,"El Salvador",CL,8
1072,"Matina Franca",PT,8
12317,"Mount Bandai",JP,8
25147,"RFDS tourism",AU,8
23124,"Ramkhamhaeng National Park",TH,8
27704,"Chalcatzingo",MX,8
6732,"DMZ (Vietnam)",VN,8
22332,"Sawarna",ID,8
2815,"Ako",JP,8
1332,"Parque Nacional dos Lagos de Plitvice",HR,8
7476,"Flaxmere",NZ,8
2344,"Sa Pa",CN,8
16439,"South East Queensland",AU,8
3424,"Arizona",MX,8
168,"Ática",GR,8
215,"Barbados",VE,8
1085,"Melgaço",PT,8
18639,"White Sands National Park",MX,8
23363,"Sant'Erasmo",AT,8
7186,"Englewood (Florida)",MX,8
6271,"Cradle of Humankind",ZA,8
26209,"Nusantara",ID,8
21758,"Campbell Town",AU,8
26783,"Rääkkylä",FI,8
2512,"Macau/Península",CN,8
26924,"Gedong Tataan",ID,8
20820,"Castletownbere",IE,8
1190,"Nova Odessa",PT,8
28345,"Dačice",CZ,8
5655,"Chedworth",GB,8
7627,"Fraser Valley",CA,8
10582,"Laos",TH,8
22509,"Măcin Mountains National Park",RO,8
945,"Laos",TH,8
8744,"Hillsborough (Northern Ireland)",IE,8
1203,"Novo Laredo",PT,8
21449,"Montebello (Quebec)",MX,8
26340,"Modisi",ID,8
16910,"Sweden",SE,8
12658,"Nassau (Germany)",DE,8
21834,"Karesuando",SE,8
24448,"Friedrichstadt",NL,8
1856,"Taipei",CN,8
22831,"Sulitjelma",NO,8
525,"Cuba",CU,8
24287,"West Bohemian Spa Triangle",CZ,8
14049,"Piha",NZ,8
23003,"Chaitén",CL,8
11524,"Maremma",IT,8
19937,"Arau",TH,8
20793,"Thumrait",OM,8
18373,"Warrumbungle National Park",AU,8
25550,"Sainte-Ursule",CA,8
166,"Atenas",GR,8
12398,"Muang Ngeun",TH,8
20802,"Champlain and Rouses Point",CA,8
13387,"Opatija",HR,8
2327,"Belmonte",PT,8
15558,"San Patricio-Melaque",BR,8
27101,"Savonranta",FI,8
19861,"Crewe (Virginia)",US,8
17902,"Urban camping in Japan",JP,8
23189,"Carl Linnaeus tourism",NL,8
8389,"Hafjell",NO,8
28422,"Tunuyán",AR,8
163,"Assunção",ES,8
16116,"Shuswap",CA,7
269,"Bloomington-Normal",PT,7
28265,"K-pop",KR,7
26870,"Haapajärvi",FI,7
17996,"Valley of 1000 Hills",ZA,7
18554,"West Jutland",DK,7
26155,"Kisantu",PT,7
18810,"Worthington (Minnesota)",US,7
21663,"Krapinske Toplice",HR,7
16721,"Stonewall (Texas)",US,7
26283,"Franquelin",CA,7
17118,"Tarapoto",PE,7
26883,"Ristijärvi",FI,7
15138,"Routeburn Track",NZ,7
18887,"Yamba",AU,7
15739,"Sânnicolau Mare",RO,7
25456,"Zec Borgia",CA,7
20189,"Årjäng",NO,7
7888,"Ghangaria",IN,7
28040,"General Terán",MX,7
18059,"Vágar",FO,7
27897,"Roslagsleden",SE,7
17609,"Rail travel in New Zealand",NZ,7
27728,"San Mauro Mare",IT,7
22578,"Kilbirnie",NZ,7
23283,"Jasin",MY,7
25731,"Nilpena Ediacara National Park",AU,7
19514,"Merowe",SD,7
25964,"North Sea Trail",DE,7
13086,"North Lombok",ID,7
15224,"Safiental",CH,7
21986,"Cumilla",IN,7
26420,"Ausgram",IN,7
13542,"Oxley Wild Rivers National Park",AU,7
26413,"Siikainen",FI,7
2117,"Villa Mercedes",PT,7
7371,"Fanø",DK,7
9809,"Kemaman",MY,7
26877,"Tuusniemi",FI,7
