# 949 destinos sem hotel (antes de enrich-hotels-remaining)
# nome	pais	continente	id
Viedma	Internacional	Europa	2125
Villa Gesell	Internacional	Europa	2113
Villa Maria	Internacional	Europa	2116
Wamrong	Internacional	Europa	2048
Williamsville	Internacional	Europa	2063
Xanxerê	Internacional	Europa	2070
Yadi	Internacional	Europa	2084
Zaire	Internacional	Europa	2321
Zinacantán	Internacional	Europa	2094
Newry	Irlanda	Europa	1174
Islândia	Islândia	Europa	823
Liubliana	Itália	Europa	982
Monte Sant'Angelo	Itália	Europa	2279
Ostuni	Itália	Europa	1234
Sabha	Itália	Europa	1597
Sardenha	Itália	Europa	2384
Siracusa	Itália	Europa	2370
Sombrio	Itália	Europa	2371
Ticino	Itália	Europa	2542
Ako	Japão	Ásia	2815
Extremo Oriente	Japão	Ásia	632
Japão	Japão	Ásia	873
Oyabe	Japão	Ásia	1249
Quioto	Japão	Ásia	1505
Tóquio	Japão	Ásia	1933
Tóquio/Setagaya	Japão	Ásia	1959
Tóquio/Shinjuku	Japão	Ásia	1963
Chilpancingo	México	América	452
Ciudad del Carmen	México	América	467
Ciudad Obregón	México	América	469
Ciudad Victoria	México	América	470
Coatapec	México	América	473
Coatzacoalcos	México	América	474
Cuautla	México	América	524
Iguala	México	América	777
Ilha das Mulheres	México	América	784
Jiutepec	México	América	886
Los Mochis	México	América	992
Poza Rica	México	América	1459
San Joaquín (Querétaro)	México	América	1631
Tapachula	México	América	1868
Tecolutla	México	América	1886
Tecomán	México	América	1887
Tehuacán	México	América	1891
Temixco	México	América	1893
Tepic	México	América	1897
Tequisquiapan	México	América	1899
Texcoco	México	América	1909
Tlaxcala	México	América	1922
Gotemburgo	Noruega	Europa	709
Óbidos (Pará)	Paraguai	América	2450
Calheta	Portugal	Europa	356
Camacha	Portugal	Europa	2152
Câmara de Lobos	Portugal	Europa	359
Caminhar no Corvo	Portugal	Europa	363
Copenhaga	Portugal	Europa	501
Furnas	Portugal	Europa	2155
Herdade da Comporta	Portugal	Europa	2266
Ilhas Desertas	Portugal	Europa	798
Londres/City of London	Portugal	Europa	2484
Moxico	Portugal	Europa	2320
Oriente Médio	Portugal	Europa	1224
Paisagem Protegida da Serra do Açor	Portugal	Europa	1259
Parque Natural da Arrábida	Portugal	Europa	1354
Parque Natural da Ria Formosa	Portugal	Europa	1356
Parque Natural da Serra da Estrela	Portugal	Europa	1357
Parque Natural das Serras de Aire e Candeeiros	Portugal	Europa	1359
Parque Natural de Montesinho	Portugal	Europa	1360
Parque Natural do Litoral Norte	Portugal	Europa	1364
Parque Natural do Sudoeste Alentejano e Costa Vicentina	Portugal	Europa	1365
Parque Natural do Vale do Guadiana	Portugal	Europa	1367
Reserva Natural da Serra da Malcata	Portugal	Europa	1534
Reserva Natural das Berlengas	Portugal	Europa	1532
Reserva Natural das Dunas de São Jacinto	Portugal	Europa	1533
Reserva Natural das Ilhas Desertas	Portugal	Europa	1535
Reserva Natural das Ilhas Selvagens	Portugal	Europa	1536
Reserva Natural do Estuário do Sado	Portugal	Europa	1539
Reserva Natural do Estuário do Tejo	Portugal	Europa	1540
Reserva Natural do Paul de Arzila	Portugal	Europa	1541
Reserva Natural do Paul de Boquilobo	Portugal	Europa	1542
Torre de Bera	Portugal	Europa	1972
Viajar ecologicamente	Portugal	Europa	2080
Vila Baleira	Portugal	Europa	2129
Blaenau Gwent	Reino Unido	Europa	2681
Ceredigion	Reino Unido	Europa	2684
Deothang	Reino Unido	Europa	549
Gwynedd	Reino Unido	Europa	2687
Londres	Reino Unido	Europa	987
Londres/Southwark-Lewisham	Reino Unido	Europa	2489
País de Gales	Reino Unido	Europa	1260
Powys	Reino Unido	Europa	2692
Zâmbia	Reino Unido	Europa	2092
Abecásia	Rússia	Europa	6
Anel de Ouro	Rússia	Europa	96
Derbent	Rússia	Europa	2252
Korolev	Rússia	Europa	2250
Lucerna	Suíça	Europa	1001
Ilhas Similan	Tailândia	Ásia	2409
Ko Pha Ngan	Tailândia	Ásia	2401
Ko Samui	Tailândia	Ásia	2399
Kayseri	Turquia	Ásia	913
Aceguá (Uruguai)	Uruguai	América	18
Cidade Ho Chi Minh	Vietname	Ásia	2338
