hotel_id,nome,old_destino_id,pais_code,razao
323691,[[Bruges]],24748,BE,bracket
323692,[[Carcassonne]],24748,FR,bracket
323693,[[Constantinople]],24748,,
323694,"[[Cordoba (city, Spain)",24748,ES,pais
323695,[[Dubrovnik]],24748,HR,bracket
323696,[[Florence]],24748,IT,bracket
323697,[[Genoa]],24748,IT,bracket
323698,[[Granada]],24748,ES,bracket
323699,[[Kraków]],24748,,
323700,[[Lübeck]],24748,,
323701,[[Malbork]],24748,PL,bracket
323702,[[Nördlingen]],24748,,
323703,[[Novgorod]],24748,RU,bracket
323704,[[Prague]],24748,CZ,bracket
323705,[[Rothenburg ob der Tauber]],24748,DE,bracket
323706,[[Santiago de Compostela]],24748,ES,bracket
323707,[[Sigtuna]],24748,SE,bracket
323708,[[Stockholm]],24748,SE,bracket
323709,[[Tallinn]],24748,EE,bracket
323710,[[Toledo (Spain),24748,ES,pais
323711,[[Trier]],24748,DE,bracket
323712,[[Tours]],24748,FR,bracket
323713,[[Trabzon]],24748,TR,bracket
323714,[[Uppsala]],24748,SE,bracket
323715,[[Venice]],24748,IT,bracket
323716,[[Visby]],24748,SE,bracket
323717,[[Worms]],24748,DE,bracket
323718,[[York]],24748,GB,bracket
326735,Amalienborg,24977,,
326736,Rosenborg Castle,24977,,
326737,Roskilde Cathedral,24977,DK,cidade
326738,Royal Palace,24977,,
326739,Gamlehaugen,24977,,
326740,Stiftsgaarden,24977,,
326741,Regalia of Norway,24977,NO,pais
326742,Nidaros Cathedral,24977,,
326743,Royal Mausoleum at Akershus castle,24977,,
326744,Drottningholm Palace,24977,,
326745,Stockholm Cathedral,24977,SE,cidade
326746,Riddarholmen Church,24977,,
326748,Stones of Mora,24977,,
326749,Hagaparken,24977,,
326750,The Haga Park Museum,24977,,
326751,Gustav III:s pavilion,24977,,
326752,Ulriksdal Palace,24977,,
326753,Rosendal Palace,24977,NO,cidade
326754,Rosendal Gardens,24977,NO,cidade
326755,Rosersberg Palace,24977,,
326756,Tullgarn Palace,24977,,
326757,Gripsholms slott,24977,,
327927,Augsburg textile and industry museum,25060,DE,cidade
327929,Big Pit National Coal Museum,25060,,
327931,TextilWerk Bocholt LWL Industrial Museum,25060,,
327932,The International City of Lace and Fashion,25060,,
327933,"Italian Centre for Coal Mining, Culture]]",25060,,
327937,Derwent Valley Mills,25060,,
327939,LWL Industrial Museum Zollern II/IV Colliery,25060,,
327940,North Duisburg Landscape Park,25060,,
327941,Verdant Works,25060,,
327942,Imperial War Museum Duxford,25060,US,cidade
327945,Zollverein Coal Mine Industrial Complex World Heritage Site,25060,,
327946,LVR Industrial Museum Mueller Cloth Mill,25060,,
327947,Falun Mine,25060,SE,cidade
327948,"German Clock Museum, German Clock Route",25060,,
327949,Museum of Industrial Archaeology and Textile,25060,,
327953,Espace Métal,25060,,
327960,Westphalian Industrial Museum Brick Works Lage,25060,,
327961,New Lanark,25060,,
