== Resumo Geral,,
Total,415052,
2,tbo+geo_from_dest+gmaps_not_found,1
2,tbo+wikivoyage-listing+geo_not_found,1
2,rejected_geo+geo_from_dest+geonames_htl,1
2,wikivoyage-en+geo_not_found,1
2,wikivoyage-en+geonames_htl,1
2,geonames_htl+local+wikivoyage-listing,1
2,osm+geo_from_dest,1
3,geo_from_dest,208951
3,hotel_centroid,46436
3,local,45673
3,geonames_htl,45263
3,tbo,10572
3,geo_found,8648
3,geo_from_dest+wikivoyage-listing,3160
3,geo_not_found,2879
3,wikivoyage-en,1945
3,geonames_htl+wikivoyage-listing,1915
3,osm,1791
3,gmaps_not_found,1690
3,geonames_htl+geo_from_dest,1631
3,wikivoyage-en+geo_from_dest,1528
3,geo_from_dest+geonames_htl,708
3,turad,643
3,geo_found+geo_from_dest,482
3,local+wikivoyage-listing,398
3,local+geo_from_dest,291
3,geo_found+geo_from_dest+geonames_htl,273
3,(null),237
3,rejected_geo,222
3,geo_from_dest+gmaps_not_found,209
3,gmaps_scraper,165
3,wikivoyage-listing,128
3,wikivoyage-en+local,120
3,wikivoyage-en+geonames_htl+geo_from_dest,109
3,tbo+wikivoyage-listing,100
3,tbo+geo_from_dest,91
3,wikivoyage-en+tbo,89
3,wikivoyage-en+wikivoyage-listing,81
3,local+geonames_htl+geo_from_dest,77
3,rejected_geo+geo_from_dest,75
3,geo_found+geo_from_dest+gmaps_not_found,72
3,turad+geo_from_dest+geonames_htl,50
3,tbo+geonames_htl+geo_from_dest,50
3,geo_not_found+geo_from_dest,46
3,local+geonames_htl+wikivoyage-listing,40
3,wikivoyage-en+geo_from_dest+geonames_htl,37
3,geo_found+wikivoyage-listing,33
3,geo_not_found+geo_from_dest+geonames_htl,32
3,local+gmaps_not_found,31
3,global-hotels-2026,25
3,osm+wikivoyage-listing,23
3,geo_from_dest+local,18
3,geonames_htl+local+geo_from_dest,17
3,geonames_htl+local+wikivoyage-listing,14
3,geo_found+geonames_htl+geo_from_dest,14
3,geo_found+geo_from_dest+gmaps_scraper,14
3,geo_not_found+geonames_htl+geo_from_dest,13
3,gmaps_not_found+wikivoyage-listing,13
3,tbo+geo_from_dest+geonames_htl,13
3,local+gmaps_not_found+geo_from_dest,12
3,rejected_geo+geo_from_dest+geonames_htl,12
3,gmaps_not_found+geo_from_dest,11
3,wikivoyage-en+tbo+geo_from_dest,10
3,tbo+geonames_htl,10
3,wikivoyage-en+osm,8
3,turad+geonames_htl,8
3,gmaps_scraper+gmaps_not_found,8
3,tbo+geonames_htl+wikivoyage-listing,8
3,osm+geo_from_dest,8
3,local+geo_from_dest+geonames_htl,7
3,osm+geonames_htl+wikivoyage-listing,7
3,geo_from_dest+local+geonames_htl,6
3,turad+geo_from_dest,6
3,geo_from_dest+tbo,5
3,france-classified,5
3,geo_from_dest+wikipedia-search-pt,4
3,geo_from_dest+tbo+geonames_htl,4
3,geo_found+gmaps_scraper+geo_not_found,4
3,geonames_htl+tbo+geo_from_dest,4
3,wikivoyage-en+local+geo_from_dest,4
3,wikivoyage-en+local+wikivoyage-listing,4
3,wikivoyage-listing+geo_not_found,4
3,geo_from_dest+wikipedia-search-en,3
3,geonames_htl+geo_from_dest+tbo,3
3,turad+geonames_htl+wikivoyage-listing,3
3,rejected_geo+tbo+geo_from_dest,3
3,geonames_htl+tbo+wikivoyage-listing,3
3,local+geo_from_dest+wikivoyage-listing,3
3,geo_from_dest+gmaps_scraper,3
3,geo_from_dest+geonames_htl+gmaps_scraper,3
3,tbo+gmaps_not_found,3
3,tbo+gmaps_not_found+geonames_htl,3
3,gmaps_not_found+gmaps_scraper,3
3,local+gmaps_not_found+wikivoyage-listing,3
3,wikivoyage-en+geonames_htl+tbo,3
3,local+geonames_htl,2
