id,nome,pais_code,hotels,type_note
26211,"Keitele",FI,5,potential place — needs geocoding
27940,"Jämtlandsleden",SE,5,potential place — needs geocoding
25152,"Cross River National Park",GB,5,topic/activity
19522,"Diving the Alderman Islands",NZ,5,topic/activity
28466,"Street-running trains",VN,5,topic/activity
26281,"El-Obeid",EG,5,potential place — needs geocoding
16500,"Rivierenland",NL,5,potential place — needs geocoding
26324,"Pribaikalsky National Park",CA,5,topic/activity
21311,"Malbazar",IN,4,potential place — needs geocoding
26264,"Minganie",CA,4,potential place — needs geocoding
27161,"Korean palaces",CN,4,potential place — needs geocoding
26483,"Parikkala",RU,4,potential place — needs geocoding
26356,"Morne Seychellois National Park",AU,4,topic/activity
24011,"Driving in Japan",JP,4,topic/activity
26929,"Pielavesi",FI,4,potential place — needs geocoding
27523,"Scott Pilgrim locations",CA,4,potential place — needs geocoding
23247,"Sirmilik National Park",CA,4,topic/activity
28381,"Česká Kanada",CA,4,potential place — needs geocoding
22590,"Inland of Finland Proper",FI,4,potential place — needs geocoding
23032,"Bengtskär",FI,4,potential place — needs geocoding
26379,"New Italy",IT,4,potential place — needs geocoding
28002,"Abbots Leigh",FR,4,potential place — needs geocoding
27764,"Volcan Cosigüina",MX,4,potential place — needs geocoding
26446,"Hanle",IN,4,potential place — needs geocoding
15283,"Saint Kitts and Nevis",GB,4,potential place — needs geocoding
26881,"Puolanka",FI,4,potential place — needs geocoding
27531,"Mount Sibayak",ID,4,potential place — needs geocoding
26160,"Arturo Merino Benítez International Airport",CL,4,topic/activity
18531,"Western Transdanubia",HU,4,potential place — needs geocoding
22052,"Paranas",PH,4,potential place — needs geocoding
24711,"Drumshanbo",IE,4,potential place — needs geocoding
22587,"Anholt",SE,4,potential place — needs geocoding
23238,"Ivvavik National Park",CA,4,topic/activity
23240,"Mealy Mountains National Park",CA,4,topic/activity
23711,"Arvidsjaur",SE,4,potential place — needs geocoding
26448,"Arthur-Pieman Conservation Area",AR,4,topic/activity
19154,"Diving in New Zealand",NZ,3,topic/activity
22998,"Farellones",CL,3,potential place — needs geocoding
26905,"Suomenselkä countryside",FI,3,potential place — needs geocoding
26152,"North Arm",BR,3,potential place — needs geocoding
18893,"Yanbian",CN,3,potential place — needs geocoding
22181,"Archipelago Trail",FI,3,topic/activity
27900,"Yumurtalık",CN,3,potential place — needs geocoding
28351,"Jovellar",PH,3,potential place — needs geocoding
17115,"Taranaki",NZ,3,potential place — needs geocoding
23264,"French Island",AU,3,potential place — needs geocoding
26610,"Taranna",AU,3,potential place — needs geocoding
26891,"Evijärvi",FI,3,potential place — needs geocoding
27060,"Nami Island",KR,3,potential place — needs geocoding
21360,"Icelandic hot springs",IS,3,potential place — needs geocoding
21701,"Älvsbyn",SE,3,potential place — needs geocoding
27317,"Rydal",AU,3,potential place — needs geocoding
