country_code;country_name;ge_hotels;db_hotels;db_with_coords;db_rejected;db_wrong_country;db_geo_found;difference;ratio;coverage_pct;flags
US;"Internacional";62465;3605;2555;0;0;0;-58860;0.0577;5.77;"UNDER"
ES;"Internacional";19346;44;14;0;0;0;-19302;0.0023;0.23;"UNDER"
IT;"Italy";16623;2;2;0;0;0;-16621;0.0001;0.01;"UNDER"
FR;"France";12303;0;0;0;0;0;-12303;0.0000;0.00;"MISS, UNDER"
GB;"Internacional";8310;68;35;0;0;0;-8242;0.0082;0.82;"UNDER"
GR;"Internacional";7993;262;101;0;0;0;-7731;0.0328;3.28;"UNDER"
CN;"Internacional";7951;413;167;0;0;0;-7538;0.0519;5.19;"UNDER"
DE;"Germany";7201;2;2;0;0;0;-7199;0.0003;0.03;"UNDER"
TH;"Tailândia";6225;6502;2343;0;0;35;277;1.0445;104.45;""
TR;"Internacional";6004;38;24;0;0;0;-5966;0.0063;0.63;"UNDER"
CA;"Internacional";5527;1532;590;1;0;0;-3995;0.2772;27.72;""
AU;"Internacional";4802;405;195;0;0;0;-4397;0.0843;8.43;"UNDER"
IN;"Internacional";4554;277;126;0;0;0;-4277;0.0608;6.08;"UNDER"
BR;"Internacional";4138;105;78;0;0;0;-4033;0.0254;2.54;"UNDER"
MX;"Internacional";3812;40;4;0;0;0;-3772;0.0105;1.05;"UNDER"
PT;"Internacional";3528;52;26;0;0;7;-3476;0.0147;1.47;"UNDER"
ID;"Internacional";3202;305;125;0;0;0;-2897;0.0953;9.53;"UNDER"
JP;"Internacional";2999;148;34;0;0;0;-2851;0.0493;4.93;"UNDER"
AT;"Áustria";2894;2862;792;0;0;0;-32;0.9889;98.89;""
CH;"Switzerland";1869;1;1;0;0;0;-1868;0.0005;0.05;"UNDER"
AR;"Internacional";1845;40;1;0;0;0;-1805;0.0217;2.17;"UNDER"
MA;"Internacional";1660;40;0;0;0;0;-1620;0.0241;2.41;"UNDER"
HR;"Croácia";1638;1368;274;0;0;6;-270;0.8352;83.52;""
AE;"Emirados Árabes Unidos";1577;49;45;0;0;4;-1528;0.0311;3.11;"UNDER"
MY;"Internacional";1567;801;276;0;0;0;-766;0.5112;51.12;""
RU;"Internacional";1544;2482;2036;0;0;32;938;1.6075;160.75;""
IE;"Irlanda";1443;3862;1822;3;0;23;2419;2.6764;267.64;"OVER"
NL;"Países Baixos";1391;68;63;0;0;0;-1323;0.0489;4.89;"UNDER"
EG;"Egito";1357;2512;1244;0;0;18;1155;1.8511;185.11;""
ZA;"Internacional";1342;70;4;0;0;0;-1272;0.0522;5.22;"UNDER"
NZ;"Internacional";1276;659;71;0;0;0;-617;0.5165;51.65;""
CZ;"Czech Republic";1205;8;8;0;0;0;-1197;0.0066;0.66;"UNDER"
VN;"Vietnã";1177;100;93;0;0;0;-1077;0.0850;8.50;"UNDER"
BG;"Bulgária";1157;160;147;0;0;11;-997;0.1383;13.83;"UNDER"
PH;"Internacional";1122;185;49;0;0;0;-937;0.1649;16.49;""
PL;"Polônia";1078;9;8;0;0;0;-1069;0.0083;0.83;"UNDER"
KR;"Internacional";1001;16;8;0;0;0;-985;0.0160;1.60;"UNDER"
CO;"Internacional";990;38;7;0;0;0;-952;0.0384;3.84;"UNDER"
BE;"Internacional";988;10;1;0;0;0;-978;0.0101;1.01;"UNDER"
NO;"Internacional";931;83;33;0;0;0;-848;0.0892;8.92;"UNDER"
TW;"Internacional";917;75;18;0;0;0;-842;0.0818;8.18;"UNDER"
TN;"Internacional";837;201;16;0;0;0;-636;0.2401;24.01;""
CY;"Cyprus";807;32;30;0;0;19;-775;0.0397;3.97;"UNDER"
