country_code;country_name;ge_hotels;db_hotels;db_with_coords;db_rejected;db_wrong_country;db_geo_found;difference;ratio;coverage_pct;flags
US;"US";62465;81272;81240;110;0;2085;18807;1.3011;130.11;""
ES;"ES";19346;9723;9710;2;0;197;-9623;0.5026;50.26;""
IT;"IT";16623;10685;10667;2;0;277;-5938;0.6428;64.28;""
FR;"FR";12303;9200;9174;12;0;164;-3103;0.7478;74.78;""
GB;"GB";8310;21429;21408;21;0;647;13119;2.5787;257.87;"OVER"
GR;"GR";7993;3839;3839;0;0;11;-4154;0.4803;48.03;""
CN;"CN";7951;12703;12672;0;0;114;4752;1.5977;159.77;""
DE;"DE";7201;12534;12534;10;0;87;5333;1.7406;174.06;""
TH;"TH";6225;4572;4532;0;0;57;-1653;0.7345;73.45;""
TR;"TR";6004;3042;3031;0;0;92;-2962;0.5067;50.67;""
CA;"CA";5527;20291;20237;4;0;271;14764;3.6713;367.13;"OVER"
AU;"AU";4802;10748;10679;3;0;154;5946;2.2382;223.82;"OVER"
IN;"IN";4554;16220;16188;22;0;352;11666;3.5617;356.17;"OVER"
BR;"BR";4138;10565;10563;1;0;364;6427;2.5532;255.32;"OVER"
MX;"MX";3812;8342;8308;1;0;101;4530;2.1884;218.84;"OVER"
PT;"PT";3528;5022;4995;1;0;229;1494;1.4235;142.35;""
ID;"ID";3202;5730;5699;1;0;25;2528;1.7895;178.95;""
JP;"JP";2999;9648;9616;5;0;131;6649;3.2171;321.71;"OVER"
AT;"AT";2894;2179;2172;0;0;4;-715;0.7529;75.29;""
CH;"CH";1869;2117;2117;0;0;63;248;1.1327;113.27;""
AR;"AR";1845;2019;2003;0;0;44;174;1.0943;109.43;""
MA;"MA";1660;1024;983;1;0;94;-636;0.6169;61.69;""
HR;"HR";1638;961;961;0;0;13;-677;0.5867;58.67;""
AE;"AE";1577;406;406;0;0;55;-1171;0.2575;25.75;""
MY;"MY";1567;2309;2302;2;0;24;742;1.4735;147.35;""
RU;"RU";1544;4352;4348;0;0;79;2808;2.8187;281.87;"OVER"
IE;"IE";1443;2613;2609;0;0;27;1170;1.8108;181.08;""
NL;"NL";1391;4399;4392;4;0;36;3008;3.1625;316.25;"OVER"
