country_code;country_name;ge_hotels;db_hotels;db_with_coords;db_rejected;db_wrong_country;db_geo_found;difference;ratio;coverage_pct;flags
US;"Internacional";62465;3176;2400;0;0;0;-59289;0.0508;5.08;"UNDER"
ES;"Internacional";19346;36;10;0;0;0;-19310;0.0019;0.19;"UNDER"
IT;"Itália";16623;11191;7499;3;0;155;-5432;0.6732;67.32;""
FR;"Internacional";12303;92;40;0;0;0;-12211;0.0075;0.75;"UNDER"
GB;"Internacional";8310;77;44;0;0;0;-8233;0.0093;0.93;"UNDER"
GR;"Internacional";7993;230;101;0;0;0;-7763;0.0288;2.88;"UNDER"
CN;"Internacional";7951;358;145;0;0;0;-7593;0.0450;4.50;"UNDER"
DE;"Internacional";7201;86;27;0;0;0;-7115;0.0119;1.19;"UNDER"
TH;"Tailândia";6225;6228;2635;0;0;38;3;1.0005;100.05;""
TR;"Internacional";6004;62;45;0;0;0;-5942;0.0103;1.03;"UNDER"
CA;"Internacional";5527;1386;573;1;0;0;-4141;0.2508;25.08;""
AU;"Internacional";4802;382;176;0;0;0;-4420;0.0796;7.96;"UNDER"
IN;"Internacional";4554;231;103;0;0;0;-4323;0.0507;5.07;"UNDER"
BR;"Internacional";4138;107;83;0;0;0;-4031;0.0259;2.59;"UNDER"
MX;"Internacional";3812;34;4;0;0;0;-3778;0.0089;0.89;"UNDER"
PT;"Internacional";3528;45;29;0;0;7;-3483;0.0128;1.28;"UNDER"
ID;"Internacional";3202;269;108;0;0;0;-2933;0.0840;8.40;"UNDER"
JP;"Internacional";2999;134;34;0;0;0;-2865;0.0447;4.47;"UNDER"
AT;"Áustria";2894;2424;322;0;0;0;-470;0.8376;83.76;""
CH;"Suíça";1869;2963;814;0;0;58;1094;1.5853;158.53;""
AR;"Internacional";1845;38;0;0;0;0;-1807;0.0206;2.06;"UNDER"
MA;"Internacional";1660;40;0;0;0;0;-1620;0.0241;2.41;"UNDER"
HR;"Croácia";1638;1220;283;0;0;6;-418;0.7448;74.48;""
AE;"Emirados Árabes Unidos";1577;49;49;0;0;4;-1528;0.0311;3.11;"UNDER"
MY;"Internacional";1567;739;237;0;0;0;-828;0.4716;47.16;""
RU;"Internacional";1544;2205;2048;0;0;32;661;1.4281;142.81;""
IE;"Irlanda";1443;3646;1241;3;0;23;2203;2.5267;252.67;"OVER"
NL;"Países Baixos";1391;66;66;0;0;0;-1325;0.0474;4.74;"UNDER"
EG;"Egito";1357;2417;1179;0;0;18;1060;1.7811;178.11;""
ZA;"Internacional";1342;62;4;0;0;0;-1280;0.0462;4.62;"UNDER"
NZ;"Internacional";1276;703;34;0;0;0;-573;0.5509;55.09;""
CZ;"Tchéquia";1205;42;42;0;0;0;-1163;0.0349;3.49;"UNDER"
VN;"Vietnã";1177;97;97;0;0;0;-1080;0.0824;8.24;"UNDER"
BG;"Bulgária";1157;158;158;0;0;11;-999;0.1366;13.66;"UNDER"
PH;"Internacional";1122;227;57;0;0;0;-895;0.2023;20.23;""
PL;"Polônia";1078;12;12;0;0;0;-1066;0.0111;1.11;"UNDER"
KR;"Internacional";1001;14;8;0;0;0;-987;0.0140;1.40;"UNDER"
CO;"Internacional";990;38;5;0;0;0;-952;0.0384;3.84;"UNDER"
BE;"Internacional";988;10;1;0;0;0;-978;0.0101;1.01;"UNDER"
NO;"Internacional";931;79;34;0;0;0;-852;0.0849;8.49;"UNDER"
TW;"Internacional";917;73;18;0;0;0;-844;0.0796;7.96;"UNDER"
TN;"Internacional";837;169;16;0;0;0;-668;0.2019;20.19;""
CY;"Internacional";807;125;49;0;0;31;-682;0.1549;15.49;""
DO;"República Dominicana";772;16;16;0;0;0;-756;0.0207;2.07;"UNDER"
RO;"Internacional";708;9;3;0;0;0;-699;0.0127;1.27;"UNDER"
HU;"Hungria";706;3638;704;0;0;0;2932;5.1530;515.30;"OVER"
SE;"Internacional";650;32;14;0;0;0;-618;0.0492;4.92;"UNDER"
CR;"Internacional";623;159;3;0;0;0;-464;0.2552;25.52;""
IL;"Internacional";607;219;9;0;0;0;-388;0.3608;36.08;""
