flag_type;country_code;country_name;db_hotels;ge_hotels;ratio_or_coverage
OVER;TJ;"Internacional";101;3;33.67x
OVER;ET;"Internacional";326;16;20.38x
OVER;BI;"Internacional";57;3;19.00x
OVER;ML;"Internacional";101;6;16.83x
OVER;AS;"Internacional";14;1;14.00x
OVER;CG;"Internacional";60;5;12.00x
OVER;AF;"Afeganistão";82;7;11.71x
OVER;TD;"Internacional";59;6;9.83x
OVER;SL;"Internacional";27;3;9.00x
OVER;CF;"Internacional";17;2;8.50x
OVER;KG;"Internacional";123;15;8.20x
OVER;BF;"Internacional";80;10;8.00x
OVER;ER;"Internacional";8;1;8.00x
OVER;GN;"Internacional";37;5;7.40x
OVER;SO;"Internacional";138;19;7.26x
OVER;GA;"Internacional";49;7;7.00x
OVER;GW;"Internacional";26;4;6.50x
OVER;HU;"Hungria";4012;706;5.68x
OVER;SD;"Sudão";28;5;5.60x
OVER;TG;"Internacional";54;10;5.40x
OVER;MN;"Internacional";62;12;5.17x
OVER;HT;"Internacional";125;25;5.00x
OVER;BJ;"Internacional";44;9;4.89x
OVER;BW;"Internacional";126;26;4.85x
OVER;VC;"Internacional";37;8;4.63x
OVER;UZ;"Internacional";232;52;4.46x
OVER;IQ;"Iraque";59;15;3.93x
OVER;RW;"Internacional";65;18;3.61x
OVER;ZW;"Internacional";201;60;3.35x
OVER;GI;"Internacional";47;15;3.13x
OVER;NG;"Nigéria";208;68;3.06x
OVER;MW;"Internacional";60;21;2.86x
OVER;BN;"Internacional";73;26;2.81x
OVER;NP;"Internacional";374;139;2.69x
OVER;IE;"Irlanda";3862;1443;2.68x
OVER;ST;"Internacional";16;6;2.67x
OVER;LS;"Lesotho";8;3;2.67x
OVER;ZM;"Internacional";133;52;2.56x
OVER;CM;"Camarões";46;18;2.56x
OVER;AO;"Internacional";119;48;2.48x
OVER;TC;"Internacional";148;60;2.47x
OVER;CD;"Internacional";119;49;2.43x
OVER;GE;"Internacional";157;68;2.31x
OVER;MZ;"Moçambique";120;52;2.31x
OVER;SG;"Singapura";1112;490;2.27x
OVER;UG;"Internacional";85;38;2.24x
OVER;GH;"Gana";95;46;2.07x
UNDER;FR;"France";0;12303;0.0%
UNDER;MV;"Maldives";0;225;0.0%
UNDER;PS;"Palestine";0;83;0.0%
UNDER;JE;"Jersey";0;75;0.0%
UNDER;MO;"Macau";0;70;0.0%
UNDER;AG;"Antigua and Barbuda";0;66;0.0%
UNDER;SV;"El Salvador";0;60;0.0%
UNDER;SX;"Sint Maarten";0;43;0.0%
UNDER;KY;"Cayman Islands";0;41;0.0%
UNDER;BM;"Bermuda";0;34;0.0%
UNDER;FM;"Micronesia";0;33;0.0%
UNDER;GG;"Guernsey";0;33;0.0%
UNDER;GD;"Grenada";0;32;0.0%
UNDER;NF;"Norfolk Island";0;29;0.0%
UNDER;BQ;"Bonaire";0;28;0.0%
