flag_type;country_code;country_name;db_hotels;ge_hotels;ratio_or_coverage
OVER;TJ;"Internacional";113;3;37.67x
OVER;BI;"Internacional";64;3;21.33x
OVER;CG;"Internacional";84;5;16.80x
OVER;ML;"Internacional";97;6;16.17x
OVER;ET;"Internacional";232;16;14.50x
OVER;AS;"Internacional";14;1;14.00x
OVER;BT;"Internacional";36;4;9.00x
OVER;KG;"Internacional";131;15;8.73x
OVER;GW;"Internacional";34;4;8.50x
OVER;CF;"Internacional";16;2;8.00x
OVER;AF;"Afeganistão";52;7;7.43x
OVER;GA;"Internacional";52;7;7.43x
OVER;BF;"Internacional";65;10;6.50x
OVER;TD;"Internacional";38;6;6.33x
OVER;MN;"Internacional";73;12;6.08x
OVER;GQ;"Internacional";29;5;5.80x
OVER;MH;"Internacional";23;4;5.75x
OVER;SL;"Internacional";17;3;5.67x
OVER;GN;"Internacional";28;5;5.60x
OVER;SD;"Sudão";28;5;5.60x
OVER;BJ;"Internacional";48;9;5.33x
OVER;SO;"Internacional";98;19;5.16x
OVER;ER;"Internacional";5;1;5.00x
OVER;IQ;"Iraque";73;15;4.87x
OVER;HU;"Hungria";3411;706;4.83x
OVER;UZ;"Internacional";234;52;4.50x
OVER;BW;"Internacional";113;26;4.35x
OVER;RW;"Internacional";75;18;4.17x
OVER;GI;"Internacional";62;15;4.13x
OVER;VC;"Internacional";33;8;4.13x
OVER;NE;"Níger";16;4;4.00x
OVER;TG;"Internacional";39;10;3.90x
OVER;HT;"Internacional";86;25;3.44x
OVER;BN;"Internacional";82;26;3.15x
OVER;GH;"Gana";134;46;2.91x
OVER;ZW;"Internacional";166;60;2.77x
OVER;MW;"Internacional";58;21;2.76x
OVER;ST;"Internacional";16;6;2.67x
OVER;NG;"Nigéria";177;68;2.60x
OVER;ZM;"Internacional";129;52;2.48x
OVER;MZ;"Moçambique";120;52;2.31x
OVER;GE;"Internacional";154;68;2.26x
OVER;CD;"Internacional";110;49;2.24x
OVER;NP;"Internacional";309;139;2.22x
OVER;IE;"Irlanda";3175;1443;2.20x
OVER;UG;"Internacional";77;38;2.03x
UNDER;PS;"Palestine";0;83;0.0%
UNDER;JE;"Jersey";0;75;0.0%
UNDER;MO;"Macau";0;70;0.0%
UNDER;AG;"Antigua and Barbuda";0;66;0.0%
UNDER;SV;"El Salvador";0;60;0.0%
UNDER;SX;"Sint Maarten";0;43;0.0%
UNDER;KY;"Cayman Islands";0;41;0.0%
UNDER;BM;"Bermuda";0;34;0.0%
UNDER;FM;"Micronesia";0;33;0.0%
UNDER;GG;"Guernsey";0;33;0.0%
UNDER;GD;"Grenada";0;32;0.0%
UNDER;GM;"Gambia";0;32;0.0%
UNDER;NF;"Norfolk Island";0;29;0.0%
UNDER;XK;"Kosovo";0;29;0.0%
UNDER;BQ;"Bonaire";0;28;0.0%
UNDER;MP;"Northern Mariana Islands";0;26;0.0%
UNDER;MC;"Monaco";0;25;0.0%
UNDER;VG;"British Virgin Islands";0;23;0.0%
UNDER;AI;"Anguilla";0;20;0.0%
UNDER;PW;"Palau";0;18;0.0%
UNDER;TO;"Tonga";0;14;0.0%
UNDER;IM;"Isle of Man";0;13;0.0%
UNDER;BL;"Saint Barthélemy";0;11;0.0%
UNDER;SM;"San Marino";0;11;0.0%
UNDER;DM;"Dominica";0;9;0.0%
UNDER;LI;"Liechtenstein";0;6;0.0%
UNDER;EH;"Western Sahara";0;5;0.0%
UNDER;NU;"Niue";0;5;0.0%
UNDER;GY;"Guyana";0;4;0.0%
UNDER;SS;"South Sudan";0;4;0.0%
