country_code;country_name;ge_hotels;db_hotels;db_with_coords;db_rejected;db_wrong_country;db_geo_found;difference;ratio;coverage_pct;flags
US;"Internacional";62465;2330;608;0;0;0;-60135;0.0373;3.73;"UNDER"
ES;"Internacional";19346;24;10;0;0;0;-19322;0.0012;0.12;"UNDER"
IT;"Itália";16623;7524;4851;3;0;155;-9099;0.4526;45.26;""
FR;"Internacional";12303;71;40;0;0;0;-12232;0.0058;0.58;"UNDER"
GB;"Internacional";8310;53;18;0;0;0;-8257;0.0064;0.64;"UNDER"
GR;"Internacional";7993;182;10;0;0;0;-7811;0.0228;2.28;"UNDER"
CN;"Internacional";7951;268;75;0;0;0;-7683;0.0337;3.37;"UNDER"
DE;"Internacional";7201;41;15;0;0;0;-7160;0.0057;0.57;"UNDER"
TH;"Tailândia";6225;4413;1664;0;0;38;-1812;0.7089;70.89;""
TR;"Internacional";6004;38;13;0;0;0;-5966;0.0063;0.63;"UNDER"
CA;"Internacional";5527;1083;453;1;0;0;-4444;0.1959;19.59;""
AU;"Internacional";4802;253;92;0;0;0;-4549;0.0527;5.27;"UNDER"
IN;"Internacional";4554;162;54;0;0;0;-4392;0.0356;3.56;"UNDER"
BR;"Internacional";4138;74;53;0;0;0;-4064;0.0179;1.79;"UNDER"
MX;"Internacional";3812;25;2;0;0;0;-3787;0.0066;0.66;"UNDER"
PT;"Internacional";3528;27;23;0;0;7;-3501;0.0077;0.77;"UNDER"
ID;"Internacional";3202;164;43;0;0;0;-3038;0.0512;5.12;"UNDER"
JP;"Internacional";2999;113;4;0;0;0;-2886;0.0377;3.77;"UNDER"
AT;"Áustria";2894;1659;241;0;0;0;-1235;0.5733;57.33;""
CH;"Suíça";1869;2168;655;0;0;58;299;1.1600;116.00;""
AR;"Internacional";1845;35;0;0;0;0;-1810;0.0190;1.90;"UNDER"
MA;"Internacional";1660;40;0;0;0;0;-1620;0.0241;2.41;"UNDER"
HR;"Croácia";1638;773;210;0;0;6;-865;0.4719;47.19;""
AE;"Emirados Árabes Unidos";1577;37;37;0;0;4;-1540;0.0235;2.35;"UNDER"
MY;"Internacional";1567;433;89;0;0;0;-1134;0.2763;27.63;""
RU;"Internacional";1544;1656;419;0;0;32;112;1.0725;107.25;""
IE;"Irlanda";1443;2233;824;3;0;23;790;1.5475;154.75;""
NL;"Internacional";1391;40;4;0;0;0;-1351;0.0288;2.88;"UNDER"
EG;"Egito";1357;1659;839;0;0;18;302;1.2225;122.25;""
ZA;"Internacional";1342;44;2;0;0;0;-1298;0.0328;3.28;"UNDER"
NZ;"Internacional";1276;550;34;0;0;0;-726;0.4310;43.10;""
CZ;"Tchéquia";1205;18;18;0;0;0;-1187;0.0149;1.49;"UNDER"
VN;"Vietnã";1177;61;61;0;0;0;-1116;0.0518;5.18;"UNDER"
BG;"Bulgária";1157;89;89;0;0;11;-1068;0.0769;7.69;"UNDER"
PH;"Internacional";1122;164;46;0;0;0;-958;0.1462;14.62;"UNDER"
PL;"Polônia";1078;6;6;0;0;0;-1072;0.0056;0.56;"UNDER"
KR;"Internacional";1001;11;8;0;0;0;-990;0.0110;1.10;"UNDER"
CO;"Internacional";990;38;5;0;0;0;-952;0.0384;3.84;"UNDER"
BE;"Internacional";988;10;1;0;0;0;-978;0.0101;1.01;"UNDER"
NO;"Internacional";931;58;24;0;0;0;-873;0.0623;6.23;"UNDER"
TW;"Internacional";917;70;18;0;0;0;-847;0.0763;7.63;"UNDER"
TN;"Internacional";837;121;16;0;0;0;-716;0.1446;14.46;"UNDER"
CY;"Internacional";807;98;31;0;0;31;-709;0.1214;12.14;"UNDER"
DO;"República Dominicana";772;16;16;0;0;0;-756;0.0207;2.07;"UNDER"
RO;"Internacional";708;6;3;0;0;0;-702;0.0085;0.85;"UNDER"
HU;"Hungria";706;2957;480;0;0;0;2251;4.1884;418.84;"OVER"
SE;"Internacional";650;32;11;0;0;0;-618;0.0492;4.92;"UNDER"
CR;"Internacional";623;93;3;0;0;0;-530;0.1493;14.93;"UNDER"
IL;"Internacional";607;156;3;0;0;0;-451;0.2570;25.70;""
SA;"Arábia Saudita";578;122;122;0;0;4;-456;0.2111;21.11;""
CU;"Cuba";566;64;64;0;0;0;-502;0.1131;11.31;"UNDER"
CL;"Internacional";530;44;2;0;0;0;-486;0.0830;8.30;"UNDER"
