property_id;property_name;city;country;star_rating;latitude;longitude;property_address;mmt_review_rating;mmt_review_count
"Zion Home Stay";"Hotel";"Udaipur";"India";"1 star";24.581788;73.667805;"201302071713316867";"Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}}";"{{ratingCriteria.name}}{{ratingCriteria.value}}"
"Araliayas Resorts";"Hotel";"Udaipur";"India";"3 star";24.544342;73.644242;"201312041703404727";"Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}}";"{{ratingCriteria.name}}{{ratingCriteria.value}}"
"Shri Udai Palace";"Hotel";"Udaipur";"India";"2 star";24.579942;73.681953;"201407171324437682";"Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}}";"{{ratingCriteria.name}}{{ratingCriteria.value}}"
"SNP House Airport Hotel And Restaurant";"Hotel";"Udaipur";"India";"1 star";24.622607;73.855194;"201407181538181173";"Families:|Couples:|Business:|Solo:|Friends:";""
"Hotel Pichola Haveli (LAKE SIDE)";"Hotel";"Udaipur";"India";"2 star";24.5801;73.6822;"201409021258573714";"Families:{{ratingSummaryInfo.miscMap['family']}}|Couples:{{ratingSummaryInfo.miscMap['couple']}}|Business:{{ratingSummaryInfo.miscMap['business']}}|Solo:{{ratingSummaryInfo.miscMap['solo']}}|Friends:{{ratingSummaryInfo.miscMap['friends']}}";"{{ratingCriteria.name}}{{ratingCriteria.value}}"
