country_code;country_name;ge_hotels;db_hotels;db_with_coords;db_rejected;db_wrong_country;db_geo_found;difference;ratio;coverage_pct;flags
PL;"Polônia";1078;15;13;0;0;0;-1063;0.0139;1.39;"UNDER"
KR;"Internacional";1001;16;8;0;0;0;-985;0.0160;1.60;"UNDER"
CO;"Internacional";990;38;7;0;0;0;-952;0.0384;3.84;"UNDER"
BE;"Internacional";988;10;1;0;0;0;-978;0.0101;1.01;"UNDER"
NO;"Internacional";931;93;35;0;0;0;-838;0.0999;9.99;"UNDER"
TW;"Internacional";917;75;18;0;0;0;-842;0.0818;8.18;"UNDER"
TN;"Internacional";837;201;16;0;0;0;-636;0.2401;24.01;""
CY;"Internacional";807;143;55;0;0;31;-664;0.1772;17.72;""
DO;"República Dominicana";772;16;16;0;0;0;-756;0.0207;2.07;"UNDER"
RO;"Internacional";708;11;3;0;0;0;-697;0.0155;1.55;"UNDER"
HU;"Hungria";706;4086;719;0;0;0;3380;5.7875;578.75;"OVER"
SE;"Internacional";650;32;14;0;0;0;-618;0.0492;4.92;"UNDER"
CR;"Internacional";623;203;3;0;0;0;-420;0.3258;32.58;""
IL;"Internacional";607;261;11;0;0;0;-346;0.4300;43.00;""
SA;"Internacional";578;197;13;0;0;0;-381;0.3408;34.08;""
CU;"Cuba";566;93;87;0;0;0;-473;0.1643;16.43;""
CL;"Internacional";530;59;2;0;0;0;-471;0.1113;11.13;"UNDER"
KH;"Camboja";505;16;16;0;0;0;-489;0.0317;3.17;"UNDER"
SG;"Singapura";490;1122;179;0;0;36;632;2.2898;228.98;"OVER"
FI;"Internacional";444;42;4;0;0;0;-402;0.0946;9.46;"UNDER"
HK;"Internacional";432;616;25;0;0;0;184;1.4259;142.59;""
DK;"Internacional";415;36;0;0;0;0;-379;0.0867;8.67;"UNDER"
UA;"Internacional";399;597;67;0;0;0;198;1.4962;149.62;""
LK;"Internacional";386;312;98;0;0;0;-74;0.8083;80.83;""
PE;"Internacional";377;42;6;0;0;0;-335;0.1114;11.14;"UNDER"
AD;"Andorra";347;5;5;0;0;0;-342;0.0144;1.44;"UNDER"
JM;"Jamaica";344;16;16;0;0;0;-328;0.0465;4.65;"UNDER"
AL;"Internacional";307;75;0;0;0;0;-232;0.2443;24.43;""
MT;"Internacional";294;62;0;0;0;0;-232;0.2109;21.09;""
TZ;"Tanzânia";277;260;237;1;0;6;-17;0.9386;93.86;""
JO;"Internacional";262;217;189;0;0;0;-45;0.8282;82.82;""
MU;"Internacional";237;62;5;0;0;0;-175;0.2616;26.16;""
KE;"Quênia";233;136;123;0;0;1;-97;0.5837;58.37;""
PA;"Internacional";232;17;3;0;0;0;-215;0.0733;7.33;"UNDER"
RS;"Sérvia";232;62;62;0;0;0;-170;0.2672;26.72;""
MV;"Internacional";225;57;1;0;0;0;-168;0.2533;25.33;""
SK;"Eslováquia";219;202;196;0;0;0;-17;0.9224;92.24;""
UY;"Uruguai";215;7;7;0;0;0;-208;0.0326;3.26;"UNDER"
IS;"Internacional";212;107;57;0;0;37;-105;0.5047;50.47;""
LV;"Letônia";199;220;206;0;0;0;21;1.1055;110.55;""
BH;"Barein";193;16;16;0;0;0;-177;0.0829;8.29;"UNDER"
VE;"Internacional";192;184;48;0;0;0;-8;0.9583;95.83;""
SI;"Internacional";190;49;0;0;0;0;-141;0.2579;25.79;""
IR;"Irã";181;290;262;0;0;13;109;1.6022;160.22;""
PK;"Paquistão";180;204;192;0;0;4;24;1.1333;113.33;""
LB;"Líbano";179;111;102;0;0;0;-68;0.6201;62.01;""
PR;"Internacional";179;113;41;0;0;8;-66;0.6313;63.13;""
MM;"Internacional";178;278;44;0;0;0;100;1.5618;156.18;""
QA;"Internacional";178;70;2;0;0;0;-108;0.3933;39.33;""
EE;"Estônia";169;77;74;0;0;0;-92;0.4556;45.56;""
OM;"Omã";169;50;48;0;0;0;-119;0.2959;29.59;""
LT;"Lituânia";159;115;109;0;0;0;-44;0.7233;72.33;""
SY;"Internacional";153;198;86;0;0;8;45;1.2941;129.41;""
AZ;"Azerbaijão";146;1;1;0;0;0;-145;0.0068;0.68;"UNDER"
BA;"Internacional";146;90;13;0;0;0;-56;0.6164;61.64;""
DZ;"Argélia";144;58;52;0;0;0;-86;0.4028;40.28;""
NP;"Internacional";139;387;106;0;0;0;248;2.7842;278.42;"OVER"
ME;"Internacional";137;59;6;0;0;0;-78;0.4307;43.07;""
NA;"Internacional";136;84;16;0;0;0;-52;0.6176;61.76;""
MK;"Internacional";135;45;0;0;0;0;-90;0.3333;33.33;""
BB;"Internacional";134;34;32;0;0;0;-100;0.2537;25.37;""
BS;"Bahamas";134;6;6;0;0;0;-128;0.0448;4.48;"UNDER"
FJ;"Internacional";116;92;1;0;0;0;-24;0.7931;79.31;""
KW;"Internacional";112;28;2;0;0;0;-84;0.2500;25.00;""
GT;"Internacional";108;202;54;0;0;0;94;1.8704;187.04;""
CV;"Internacional";104;49;3;0;0;0;-55;0.4712;47.12;""
BZ;"Internacional";100;163;93;0;0;36;63;1.6300;163.00;""
EC;"Equador";97;111;99;0;0;23;14;1.1443;114.43;""
VI;"Internacional";95;23;5;0;0;0;-72;0.2421;24.21;""
SC;"Internacional";89;26;1;0;0;0;-63;0.2921;29.21;""
LC;"Internacional";88;29;11;0;0;11;-59;0.3295;32.95;""
LA;"Internacional";87;91;16;0;0;0;4;1.0460;104.60;""
LU;"Internacional";84;68;9;0;0;0;-16;0.8095;80.95;""
SN;"Senegal";84;107;97;0;0;8;23;1.2738;127.38;""
PS;"Palestine";83;0;0;0;0;0;-83;0.0000;0.00;"MISS, UNDER"
PY;"Paraguai";78;23;23;0;0;0;-55;0.2949;29.49;""
AW;"Internacional";76;12;3;0;0;1;-64;0.1579;15.79;""
JE;"Jersey";75;0;0;0;0;0;-75;0.0000;0.00;"MISS, UNDER"
KZ;"Cazaquistão";75;13;13;0;0;1;-62;0.1733;17.33;""
MO;"Macau";70;0;0;0;0;0;-70;0.0000;0.00;"MISS, UNDER"
PF;"Internacional";70;18;3;0;0;0;-52;0.2571;25.71;""
CW;"Internacional";68;15;0;0;0;0;-53;0.2206;22.06;""
GE;"Internacional";68;205;92;0;0;0;137;3.0147;301.47;"OVER"
NG;"Nigéria";68;264;235;3;0;18;196;3.8824;388.24;"OVER"
AG;"Antigua and Barbuda";66;0;0;0;0;0;-66;0.0000;0.00;"MISS, UNDER"
HN;"Honduras";65;42;40;0;0;0;-23;0.6462;64.62;""
TT;"Internacional";62;89;2;0;0;0;27;1.4355;143.55;""
SV;"El Salvador";60;0;0;0;0;0;-60;0.0000;0.00;"MISS, UNDER"
TC;"Internacional";60;148;28;0;0;0;88;2.4667;246.67;"OVER"
ZW;"Internacional";60;205;77;0;0;0;145;3.4167;341.67;"OVER"
AM;"Armênia";57;32;32;0;0;0;-25;0.5614;56.14;""
BO;"Bolívia";55;105;103;0;0;1;50;1.9091;190.91;""
MD;"Moldávia";55;39;32;0;0;0;-16;0.7091;70.91;""
MG;"Madagascar";55;8;8;0;0;0;-47;0.1455;14.55;"UNDER"
BD;"Bangladesh";53;157;139;0;0;0;104;2.9623;296.23;"OVER"
CK;"Ilhas Cook";53;2;2;0;0;0;-51;0.0377;3.77;"UNDER"
MZ;"Moçambique";52;141;134;0;0;2;89;2.7115;271.15;"OVER"
RE;"Internacional";52;37;6;0;0;0;-15;0.7115;71.15;""
UZ;"Internacional";52;291;180;0;0;0;239;5.5962;559.62;"OVER"
ZM;"Internacional";52;141;25;0;0;0;89;2.7115;271.15;"OVER"
BY;"Internacional";51;46;8;0;0;0;-5;0.9020;90.20;""
YE;"Internacional";51;16;16;0;0;16;-35;0.3137;31.37;""
GP;"Internacional";50;40;9;0;0;0;-10;0.8000;80.00;""
LY;"Líbia";50;30;26;1;0;0;-20;0.6000;60.00;""
CD;"Internacional";49;131;46;0;0;0;82;2.6735;267.35;"OVER"
AO;"Internacional";48;125;52;0;0;0;77;2.6042;260.42;"OVER"
GU;"Internacional";48;10;10;0;0;5;-38;0.2083;20.83;""
GH;"Gana";46;128;124;0;0;3;82;2.7826;278.26;"OVER"
NI;"Nicarágua";46;71;65;0;0;0;25;1.5435;154.35;""
SX;"Sint Maarten";43;0;0;0;0;0;-43;0.0000;0.00;"MISS, UNDER"
KY;"Cayman Islands";41;0;0;0;0;0;-41;0.0000;0.00;"MISS, UNDER"
UG;"Internacional";38;95;21;0;0;0;57;2.5000;250.00;"OVER"
MQ;"Internacional";35;14;2;0;0;0;-21;0.4000;40.00;""
BM;"Bermuda";34;0;0;0;0;0;-34;0.0000;0.00;"MISS, UNDER"
FM;"Micronesia";33;0;0;0;0;0;-33;0.0000;0.00;"MISS, UNDER"
GG;"Guernsey";33;0;0;0;0;0;-33;0.0000;0.00;"MISS, UNDER"
GD;"Grenada";32;0;0;0;0;0;-32;0.0000;0.00;"MISS, UNDER"
GM;"Gambia";32;0;0;0;0;0;-32;0.0000;0.00;"MISS, UNDER"
NF;"Norfolk Island";29;0;0;0;0;0;-29;0.0000;0.00;"MISS, UNDER"
XK;"Kosovo";29;0;0;0;0;0;-29;0.0000;0.00;"MISS, UNDER"
BQ;"Bonaire";28;0;0;0;0;0;-28;0.0000;0.00;"MISS, UNDER"
VU;"Vanuatu";28;8;8;0;0;0;-20;0.2857;28.57;""
KN;"Internacional";27;22;21;0;0;0;-5;0.8148;81.48;""
MF;"Internacional";27;38;13;0;0;0;11;1.4074;140.74;""
PG;"Papua-Nova Guiné";27;12;12;0;0;0;-15;0.4444;44.44;""
BN;"Internacional";26;121;108;0;0;0;95;4.6538;465.38;"OVER"
BW;"Internacional";26;134;25;0;0;0;108;5.1538;515.38;"OVER"
MP;"Northern Mariana Islands";26;0;0;0;0;0;-26;0.0000;0.00;"MISS, UNDER"
NC;"Internacional";26;43;9;0;0;0;17;1.6538;165.38;""
HT;"Internacional";25;125;51;0;0;0;100;5.0000;500.00;"OVER"
MC;"Monaco";25;0;0;0;0;0;-25;0.0000;0.00;"MISS, UNDER"
WS;"Samoa";25;8;8;0;0;0;-17;0.3200;32.00;""
VG;"British Virgin Islands";23;0;0;0;0;0;-23;0.0000;0.00;"MISS, UNDER"
MR;"Mauritânia";21;8;8;0;0;0;-13;0.3810;38.10;""
MW;"Internacional";21;85;44;0;0;0;64;4.0476;404.76;"OVER"
AI;"Anguilla";20;0;0;0;0;0;-20;0.0000;0.00;"MISS, UNDER"
SO;"Internacional";19;143;21;0;0;0;124;7.5263;752.63;"OVER"
TL;"Timor-Leste";19;10;10;0;0;0;-9;0.5263;52.63;""
CM;"Camarões";18;51;43;0;0;0;33;2.8333;283.33;"OVER"
PW;"Palau";18;0;0;0;0;0;-18;0.0000;0.00;"MISS, UNDER"
RW;"Internacional";18;78;33;0;0;0;60;4.3333;433.33;"OVER"
ET;"Etiópia";16;349;314;8;0;23;333;21.8125;2181.25;"OVER"
GI;"Internacional";15;74;30;0;0;0;59;4.9333;493.33;"OVER"
IQ;"Iraque";15;103;93;0;0;0;88;6.8667;686.67;"OVER"
KG;"Internacional";15;167;96;0;0;0;152;11.1333;1113.33;"OVER"
CI;"Costa do Marfim";14;2;2;0;0;0;-12;0.1429;14.29;"UNDER"
TO;"Tonga";14;0;0;0;0;0;-14;0.0000;0.00;"MISS, UNDER"
IM;"Isle of Man";13;0;0;0;0;0;-13;0.0000;0.00;"MISS, UNDER"
MN;"Internacional";12;97;44;0;0;0;85;8.0833;808.33;"OVER"
SZ;"Internacional";12;4;3;0;0;0;-8;0.3333;33.33;""
BL;"Saint Barthélemy";11;0;0;0;0;0;-11;0.0000;0.00;"MISS, UNDER"
SM;"San Marino";11;0;0;0;0;0;-11;0.0000;0.00;"MISS, UNDER"
SR;"Suriname";11;16;16;0;0;0;5;1.4545;145.45;""
BF;"Internacional";10;95;36;0;0;0;85;9.5000;950.00;"OVER"
TG;"Internacional";10;54;0;0;0;0;44;5.4000;540.00;"OVER"
BJ;"Internacional";9;60;4;0;0;0;51;6.6667;666.67;"OVER"
DM;"Dominica";9;0;0;0;0;0;-9;0.0000;0.00;"MISS, UNDER"
VC;"Internacional";8;45;2;0;0;0;37;5.6250;562.50;"OVER"
AF;"Afeganistão";7;82;72;0;0;2;75;11.7143;1171.43;"OVER"
GA;"Internacional";7;64;5;0;0;0;57;9.1429;914.29;"OVER"
LI;"Liechtenstein";6;0;0;0;0;0;-6;0.0000;0.00;"MISS, UNDER"
ML;"Internacional";6;151;84;0;0;0;145;25.1667;2516.67;"OVER"
ST;"Internacional";6;16;6;0;0;0;10;2.6667;266.67;"OVER"
TD;"Internacional";6;59;16;0;0;0;53;9.8333;983.33;"OVER"
CG;"Internacional";5;108;83;0;0;0;103;21.6000;2160.00;"OVER"
EH;"Western Sahara";5;0;0;0;0;0;-5;0.0000;0.00;"MISS, UNDER"
GF;"Internacional";5;9;1;0;0;0;4;1.8000;180.00;""
GL;"Groenlândia";5;8;8;0;0;0;3;1.6000;160.00;""
GN;"Internacional";5;37;8;0;0;0;32;7.4000;740.00;"OVER"
GQ;"Internacional";5;35;7;0;0;0;30;7.0000;700.00;"OVER"
NU;"Niue";5;0;0;0;0;0;-5;0.0000;0.00;"MISS, UNDER"
SD;"Sudão";5;28;28;0;0;0;23;5.6000;560.00;"OVER"
BT;"Internacional";4;48;10;0;0;0;44;12.0000;1200.00;"OVER"
FO;"Internacional";4;7;1;0;0;0;3;1.7500;175.00;""
GW;"Internacional";4;61;53;0;0;0;57;15.2500;1525.00;"OVER"
GY;"Guyana";4;0;0;0;0;0;-4;0.0000;0.00;"MISS, UNDER"
MH;"Internacional";4;56;0;0;0;0;52;14.0000;1400.00;"OVER"
NE;"Níger";4;16;16;0;0;0;12;4.0000;400.00;"OVER"
SS;"South Sudan";4;0;0;0;0;0;-4;0.0000;0.00;"MISS, UNDER"
BI;"Internacional";3;94;80;0;0;0;91;31.3333;3133.33;"OVER"
DJ;"Djibouti";3;0;0;0;0;0;-3;0.0000;0.00;"MISS, UNDER"
KI;"Kiribati";3;0;0;0;0;0;-3;0.0000;0.00;"MISS, UNDER"
LS;"Lesotho";3;0;0;0;0;0;-3;0.0000;0.00;"MISS, UNDER"
SL;"Internacional";3;32;18;0;0;0;29;10.6667;1066.67;"OVER"
TJ;"Internacional";3;161;26;0;0;0;158;53.6667;5366.67;"OVER"
AX;"Åland Islands";2;0;0;0;0;0;-2;0.0000;0.00;"MISS, UNDER"
CF;"Internacional";2;22;20;0;0;0;20;11.0000;1100.00;"OVER"
NR;"Nauru";2;0;0;0;0;0;-2;0.0000;0.00;"MISS, UNDER"
SJ;"Svalbard and Jan Mayen";2;0;0;0;0;0;-2;0.0000;0.00;"MISS, UNDER"
AS;"Internacional";1;17;6;0;0;0;16;17.0000;1700.00;"OVER"
ER;"Internacional";1;8;5;0;0;0;7;8.0000;800.00;"OVER"
MS;"Montserrat";1;0;0;0;0;0;-1;0.0000;0.00;"MISS, UNDER"
TK;"Tokelau";1;0;0;0;0;0;-1;0.0000;0.00;"MISS, UNDER"
TV;"Tuvalu";1;0;0;0;0;0;-1;0.0000;0.00;"MISS, UNDER"
YT;"Mayotte";1;0;0;0;0;0;-1;0.0000;0.00;"MISS, UNDER"
XX;"Internacional";0;211310;49984;230;0;1012;211310;NA;NA;"EXTRA"
TM;"Internacional";0;183;101;0;0;0;183;NA;NA;"EXTRA"
KP;"Internacional";0;56;35;0;0;0;56;NA;NA;"EXTRA"
LR;"Internacional";0;54;0;0;0;0;54;NA;NA;"EXTRA"
PM;"Internacional";0;10;2;0;0;0;10;NA;NA;"EXTRA"
