flag_type;country_code;country_name;db_hotels;ge_hotels;ratio_or_coverage
OVER;SD;"SD";232;5;46.40x
OVER;TJ;"TJ";130;3;43.33x
OVER;ER;"ER";40;1;40.00x
OVER;BT;"BT";156;4;39.00x
OVER;MS;"MS";34;1;34.00x
OVER;GL;"GL";166;5;33.20x
OVER;NE;"NE";130;4;32.50x
OVER;AF;"AF";208;7;29.71x
OVER;NG;"NG";1803;68;26.51x
OVER;BI;"BI";77;3;25.67x
OVER;FO;"FO";93;4;23.25x
OVER;SL;"SL";69;3;23.00x
OVER;ET;"ET";362;16;22.63x
OVER;MN;"MN";256;12;21.33x
OVER;IQ;"IQ";247;15;16.47x
OVER;CM;"CM";278;18;15.44x
OVER;ML;"ML";91;6;15.17x
OVER;NR;"NR";26;2;13.00x
OVER;AS;"AS";13;1;13.00x
OVER;CG;"CG";61;5;12.20x
OVER;GF;"GF";59;5;11.80x
OVER;FI;"FI";5081;444;11.44x
OVER;TD;"TD";66;6;11.00x
OVER;BF;"BF";109;10;10.90x
OVER;KG;"KG";160;15;10.67x
OVER;LS;"LS";28;3;9.33x
OVER;GE;"GE";621;68;9.13x
OVER;XK;"XK";261;29;9.00x
OVER;RW;"RW";160;18;8.89x
OVER;BJ;"BJ";78;9;8.67x
OVER;BD;"BD";429;53;8.09x
OVER;GA;"GA";56;7;8.00x
OVER;UG;"UG";294;38;7.74x
OVER;CI;"CI";108;14;7.71x
OVER;DJ;"DJ";22;3;7.33x
OVER;BO;"BO";402;55;7.31x
OVER;GW;"GW";28;4;7.00x
OVER;NU;"NU";34;5;6.80x
OVER;PG;"PG";176;27;6.52x
OVER;GH;"GH";295;46;6.41x
OVER;GN;"GN";32;5;6.40x
OVER;IM;"IM";78;13;6.00x
OVER;CF;"CF";12;2;6.00x
OVER;NI;"NI";270;46;5.87x
OVER;DK;"DK";2408;415;5.80x
OVER;TG;"TG";58;10;5.80x
OVER;MW;"MW";121;21;5.76x
OVER;SR;"SR";63;11;5.73x
OVER;SE;"SE";3716;650;5.72x
OVER;GQ;"GQ";28;5;5.60x
OVER;UZ;"UZ";289;52;5.56x
OVER;BW;"BW";140;26;5.38x
OVER;TL;"TL";101;19;5.32x
OVER;PH;"PH";5817;1122;5.18x
OVER;MZ;"MZ";268;52;5.15x
OVER;HT;"HT";125;25;5.00x
OVER;SS;"SS";20;4;5.00x
OVER;AX;"AX";10;2;5.00x
OVER;YT;"YT";5;1;5.00x
OVER;SO;"SO";94;19;4.95x
OVER;HU;"HU";3450;706;4.89x
OVER;LI;"LI";29;6;4.83x
OVER;KR;"KR";4723;1001;4.72x
OVER;LA;"LA";405;87;4.66x
OVER;EC;"EC";450;97;4.64x
OVER;MK;"MK";625;135;4.63x
OVER;AM;"AM";262;57;4.60x
OVER;GY;"GY";18;4;4.50x
OVER;AO;"AO";205;48;4.27x
OVER;IR;"IR";770;181;4.25x
OVER;VE;"VE";774;192;4.03x
OVER;TO;"TO";56;14;4.00x
OVER;SM;"SM";44;11;4.00x
OVER;NC;"NC";101;26;3.88x
OVER;BY;"BY";193;51;3.78x
OVER;DM;"DM";34;9;3.78x
OVER;MH;"MH";15;4;3.75x
OVER;PK;"PK";669;180;3.72x
OVER;CA;"CA";20291;5527;3.67x
OVER;PE;"PE";1384;377;3.67x
OVER;MG;"MG";201;55;3.65x
OVER;SK;"SK";792;219;3.62x
OVER;UA;"UA";1442;399;3.61x
OVER;IN;"IN";16220;4554;3.56x
OVER;NO;"NO";3314;931;3.56x
OVER;KZ;"KZ";263;75;3.51x
OVER;MM;"MM";621;178;3.49x
OVER;JP;"JP";9648;2999;3.22x
OVER;NP;"NP";445;139;3.20x
OVER;MR;"MR";67;21;3.19x
OVER;GT;"GT";344;108;3.19x
OVER;ST;"ST";19;6;3.17x
OVER;NL;"NL";4399;1391;3.16x
OVER;LU;"LU";264;84;3.14x
OVER;GI;"GI";47;15;3.13x
OVER;ZM;"ZM";162;52;3.12x
OVER;EE;"EE";522;169;3.09x
OVER;HN;"HN";197;65;3.03x
OVER;ZW;"ZW";176;60;2.93x
OVER;PY;"PY";226;78;2.90x
OVER;LV;"LV";565;199;2.84x
OVER;RU;"RU";4352;1544;2.82x
OVER;BZ;"BZ";278;100;2.78x
OVER;PW;"PW";50;18;2.78x
OVER;RO;"RO";1956;708;2.76x
OVER;PL;"PL";2977;1078;2.76x
OVER;WS;"WS";67;25;2.68x
OVER;BN;"BN";69;26;2.65x
OVER;EH;"EH";13;5;2.60x
OVER;GB;"GB";21429;8310;2.58x
OVER;BR;"BR";10565;4138;2.55x
OVER;ME;"ME";346;137;2.53x
OVER;VU;"VU";70;28;2.50x
OVER;SI;"SI";466;190;2.45x
OVER;IS;"IS";504;212;2.38x
OVER;NZ;"NZ";3029;1276;2.37x
OVER;CD;"CD";115;49;2.35x
OVER;LT;"LT";372;159;2.34x
OVER;AL;"AL";718;307;2.34x
OVER;SV;"SV";140;60;2.33x
OVER;GM;"GM";74;32;2.31x
OVER;ZA;"ZA";3054;1342;2.28x
OVER;SN;"SN";190;84;2.26x
OVER;VG;"VG";52;23;2.26x
OVER;AU;"AU";10748;4802;2.24x
OVER;MX;"MX";8342;3812;2.19x
OVER;TZ;"TZ";570;277;2.06x
OVER;KE;"KE";478;233;2.05x
OVER;IL;"IL";1233;607;2.03x
OVER;BE;"BE";2003;988;2.03x
UNDER;SX;"Sint Maarten";0;43;0.0%
UNDER;BQ;"Bonaire";0;28;0.0%
UNDER;SJ;"Svalbard and Jan Mayen";0;2;0.0%
UNDER;TK;"Tokelau";0;1;0.0%
MISS;SX;"Sint Maarten";0;43;-
MISS;BQ;"Bonaire";0;28;-
MISS;SJ;"Svalbard and Jan Mayen";0;2;-
MISS;TK;"Tokelau";0;1;-
EXTRA;XX;"XX";49334;0;-
EXTRA;TM;"TM";158;0;-
EXTRA;KP;"KP";146;0;-
EXTRA;KM;"KM";51;0;-
EXTRA;SB;"SB";40;0;-
EXTRA;LR;"LR";34;0;-
EXTRA;FK;"FK";33;0;-
EXTRA;CX;"CX";27;0;-
EXTRA;IO;"IO";12;0;-
EXTRA;PN;"PN";12;0;-
