country_code;country_name;ge_hotels;db_hotels;db_with_coords;db_rejected;db_wrong_country;db_geo_found;difference;ratio;coverage_pct;flags
US;"Internacional";62465;2894;1596;0;0;0;-59571;0.0463;4.63;"UNDER"
ES;"Internacional";19346;32;10;0;0;0;-19314;0.0017;0.17;"UNDER"
IT;"Itália";16623;9969;4851;3;0;155;-6654;0.5997;59.97;""
FR;"Internacional";12303;85;40;0;0;0;-12218;0.0069;0.69;"UNDER"
GB;"Internacional";8310;69;18;0;0;0;-8241;0.0083;0.83;"UNDER"
GR;"Internacional";7993;214;10;0;0;0;-7779;0.0268;2.68;"UNDER"
CN;"Internacional";7951;328;75;0;0;0;-7623;0.0413;4.13;"UNDER"
DE;"Internacional";7201;71;15;0;0;0;-7130;0.0099;0.99;"UNDER"
TH;"Tailândia";6225;5623;1664;0;0;38;-602;0.9033;90.33;""
TR;"Internacional";6004;54;13;0;0;0;-5950;0.0090;0.90;"UNDER"
CA;"Internacional";5527;1285;453;1;0;0;-4242;0.2325;23.25;""
AU;"Internacional";4802;339;92;0;0;0;-4463;0.0706;7.06;"UNDER"
IN;"Internacional";4554;208;96;0;0;0;-4346;0.0457;4.57;"UNDER"
BR;"Internacional";4138;96;53;0;0;0;-4042;0.0232;2.32;"UNDER"
MX;"Internacional";3812;31;2;0;0;0;-3781;0.0081;0.81;"UNDER"
PT;"Internacional";3528;39;23;0;0;7;-3489;0.0111;1.11;"UNDER"
ID;"Internacional";3202;234;43;0;0;0;-2968;0.0731;7.31;"UNDER"
JP;"Internacional";2999;127;4;0;0;0;-2872;0.0423;4.23;"UNDER"
AT;"Áustria";2894;2169;241;0;0;0;-725;0.7495;74.95;""
CH;"Suíça";1869;2698;655;0;0;58;829;1.4436;144.36;""
AR;"Internacional";1845;37;0;0;0;0;-1808;0.0201;2.01;"UNDER"
MA;"Internacional";1660;40;0;0;0;0;-1620;0.0241;2.41;"UNDER"
HR;"Croácia";1638;1071;210;0;0;6;-567;0.6538;65.38;""
AE;"Emirados Árabes Unidos";1577;45;37;0;0;4;-1532;0.0285;2.85;"UNDER"
